Name,Price,Score,Description,Cleaned_Description
Hotel Casa Bonay,2708,9.0,"El hotel boutique Hotel Casa Bonay está en el centro de Barcelona, a 200 metros de la estación de metro de Tetuán, y ofrece terraza compartida y wifi gratuita en todas las instalaciones. La plaza Catalunya está a 10 minutos a pie.

El Hotel Casa Bonay ocupa un edificio residencial neoclásico del siglo XIX y todas sus habitaciones están insonorizadas y decoradas con una combinación de elementos tradicionales, como suelo de mosaico, y tejidos, iluminación y mobiliario moderno. La mayoría de ellas tienen ventilador de techo, mientras que todas disponen de minibar con refrescos y aperitivos locales, wifi gratuita, TV con canales premium, revistas y aire acondicionado. El baño incluye artículos de aseo naturales de Mailin+Goetz.

El Hotel Casa Bonay ofrece una experiencia gastronómica dinámica y única. El establecimiento alberga un restaurante en la azotea, la cafetería Chiringuito TosTao, el bar de cócteles Libertine y la Bodega Bonay.

Los huéspedes pueden usar bicicletas de cortesía para ir al club de playa, donde podrán usar barcos y tablas de paddle surf gratuitamente o seguir clases de yoga los fines de semana en la azotea. Con enfoque en la sostenibilidad.

El conocido paseo de Gracia, donde hay tiendas y restaurantes, está a 700 metros. La Sagrada Familia de Gaudí se halla a 20 minutos a pie, El Hotel Casa Bonay se encuentra a 4 paradas de metro de la playa de la Barceloneta.",hotel boutiqu hotel casa bonay centro barcelona 200 metro estación metro tetuán ofrec terraza compartida wifi gratuita toda instalacion plaza catalunya 10 minuto pie hotel casa bonay ocupa edificio residenci neoclásico siglo xix toda habitacion insonorizada decorada combinación elemento tradicional suelo mosaico tejido iluminación mobiliario moderno mayoría ventilador techo mientra toda disponen minibar refresco aperitivo local wifi gratuita tv canal premium revista air acondicionado baño incluy artículo aseo natural hotel casa bonay ofrec experiencia gastronómica dinámica única establecimiento alberga restaurant azotea cafetería chiringuito tostao bar cóctele libertin bodega bonay huésped pueden usar bicicleta cortesía ir club playa podrán usar barco tabla paddl surf gratuitament seguir clase yoga fine semana azotea enfoqu sostenibilidad conocido paseo gracia tienda restaurant 700 metro sagrada familia gaudí halla 20 minuto pie hotel casa bonay encuentra 4 parada metro playa barceloneta
Tembo Barcelona,2743,8.8,"Tembo Barcelona está en Barcelona, a 16 min a pie de Platja de Llevant, y dispone de alojamiento con piscina al aire libre, parking privado, centro de fitness y salón de uso común. Ofrece terraza, restaurante y bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones están equipadas con caja fuerte, y algunas también ofrecen vistas a la ciudad. Las unidades cuentan con nevera.

En Tembo Barcelona se puede disfrutar de un desayuno buffet.

Hay una cafetería en el alojamiento, y también se puede usar la zona business.

Platja del Fòrum está a 16 min a pie del alojamiento, y Platja del Litoral está a 1,9 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 17 km.",tembo barcelona barcelona 16 min pie platja llevant dispon alojamiento piscina air libr park privado centro fit salón uso común ofrec terraza restaurant bar alojamiento ofrec recepción 24 hora traslado ir volver aeropuerto servicio habitacion wifi grati alojamiento hotel habitacion cuentan armario tv pantalla plana baño privado ropa cama toalla habitacion equipada caja fuert ofrecen vista ciudad unidad cuentan nevera tembo barcelona pued disfrutar desayuno buffet cafetería alojamiento pued usar zona busi platja fòrum 16 min pie alojamiento platja litor km aeropuerto aeropuerto barcelona prat 17 km
Golden Hotel Barcelona,1535,8.3,"El Golden Hotel Barcelona está ubicado en Barcelona, a 1,4 km de la Sagrada Familia, y cuenta con la certificación de sostenibilidad Biosphere. La terraza de la azotea cuenta con piscina al aire libre, jacuzzi y bar. El establecimiento se encuentra a 1,5 km del puerto olímpico, a 1,7 km de la Sagrada Familia y a 1,9 km del Museo Picasso. Hay gimnasio, restaurante y salón común.

 Todos los huéspedes alojados en el Golden Hotel Barcelona reciben 1 entrada gratuita (por persona y estancia) para el spa del complejo Hotel & Spa Villa Olimpic@ Suites, situado a 450 metros (servicio sujeto a disponibilidad y disponible previa reserva).

El alojamiento sirve un desayuno buffet a diario.

El personal de la recepción 24 horas habla español, catalán, alemán e inglés.

El aeropuerto de Barcelona-El Prat queda a 15 km.",golden hotel barcelona ubicado barcelona km sagrada familia cuenta certificación sostenibilidad biospher terraza azotea cuenta piscina air libr jacuzzi bar establecimiento encuentra km puerto olímpico km sagrada familia km museo picasso gimnasio restaurant salón común huésped alojado golden hotel barcelona reciben 1 entrada gratuita persona estancia spa complejo hotel spa villa olimp suit situado 450 metro servicio sujeto disponibilidad dispon previa reserva alojamiento sirv desayuno buffet diario person recepción 24 hora habla español catalán alemán inglé aeropuerto prat queda 15 km
Unite Hostel Barcelona,1675,8.0,"El Unite Hostel Barcelona se encuentra en Barcelona, a 400 metros del centro deportivo Nova Icaria, y ofrece alojamiento con restaurante, aparcamiento privado, bar y salón compartido. Además, cuenta con recepción las 24 horas, cocina compartida y WiFi gratuita en todas las instalaciones. Este albergue dispone de habitaciones familiares.

Todas las habitaciones incluyen aire acondicionado y baño privado.

Además, el establecimiento alberga una terraza.

En las inmediaciones hay varios lugares de interés, como el barrio de Somorrostro, la playa del Bogatell y el Puerto Olímpico. Asimismo, el Unite Hostel Barcelona se halla a 18 km del aeropuerto de Barcelona-El Prat.",unit hostel barcelona encuentra barcelona 400 metro centro deportivo nova icaria ofrec alojamiento restaurant aparcamiento privado bar salón compartido ademá cuenta recepción 24 hora cocina compartida wifi gratuita toda instalacion albergu dispon habitacion familiar toda habitacion incluyen air acondicionado baño privado ademá establecimiento alberga terraza inmediacion vario lugar interé barrio somorrostro playa bogatel puerto olímpico asimismo unit hostel barcelona halla 18 km aeropuerto prat
Vincci Bit,1673,8.5,"Vincci Bit se encuentra a tan solo 10 minutos andando de la playa de la Mar Bella. La estación de metro de El Maresme Forum está a 7 minutos a pie. El establecimiento cuenta con sauna, gimnasio y piscina en la azotea con vistas a la ciudad.

El restaurante sirve desayuno buffet y comidas a la carta, incluidos productos sin gluten. También hay salón, bar y servicio de habitaciones.

Las habitaciones del Vincci Bit son luminosas y cómodas, y disponen de aire acondicionado, TV de pantalla plana, carta de almohadas y minibar. Los baños privados incluyen ducha, secador de pelo y artículos de aseo gratuitos. Hay WiFi gratuita.

Hay varios bares, restaurantes y tiendas a pocos minutos a pie del hotel. El centro comercial Diagonal Mar está a solo 300 metros.

El Centro Internacional de Convenciones (CCIB) está a 9 minutos a pie del Vincci Bit. Se puede llegar al centro histórico de Barcelona en solo 15 minutos en metro o tranvía.",vincci bit encuentra tan solo 10 minuto andando playa mar bella estación metro maresm forum 7 minuto pie establecimiento cuenta sauna gimnasio piscina azotea vista ciudad restaurant sirv desayuno buffet comida carta incluido producto gluten salón bar servicio habitacion habitacion vincci bit luminosa cómoda disponen air acondicionado tv pantalla plana carta almohada minibar baño privado incluyen ducha secador pelo artículo aseo gratuito wifi gratuita vario bare restaurant tienda poco minuto pie hotel centro comerci diagon mar solo 300 metro centro internacion convencion ccib 9 minuto pie vincci bit pued llegar centro histórico barcelona solo 15 minuto metro tranvía
Hotel & Spa Villa Olimpica Suites,1577,8.0,"Este hotel minimalista se encuentra en el barrio de Poble Nou de Barcelona, a 15 minutos a pie de la playa de Bogatell. Ofrece una piscina al aire libre de temporada rodeada de tarima de madera y tumbonas.

Las suites del Hotel & Spa Villa Olimpica Suites presentan una decoración monocromática y disponen de TV de pantalla plana. También tienen aire acondicionado y un baño moderno.

El resort Hotel & Spa Villa Olimpica Suites alberga un bar cafetería elegante y un restaurante. Se sirven menús del día y cocina mediterránea a la carta. En verano se puede comer en la terraza de la piscina. 

El hotel alberga un spa grande, disponible por un suplemento. Incluye una piscina terapéutica cubierta, sauna finlandesa, baños turcos, jacuzzis, varios tipos de ducha y una fuente de hielo. También hay un gimnasio.

Este hotel está situado a 15 minutos a pie del puerto de Barcelona y a 100 metros de la estación de metro Bogatell. La animada zona de la Villa Olímpica queda a 5 minutos a pie.

Todas las habitaciones incluyen 1 acceso gratuito por persona y estancia al spa del hotel (sujeto a disponibilidad y previa reserva).",hotel minimalista encuentra barrio pobl nou barcelona 15 minuto pie playa bogatel ofrec piscina air libr temporada rodeada tarima madera tumbona suit hotel spa villa olimpica suit presentan decoración monocromática disponen tv pantalla plana air acondicionado baño moderno resort hotel spa villa olimpica suit alberga bar cafetería elegant restaurant sirven menú día cocina mediterránea carta verano pued comer terraza piscina hotel alberga spa grand dispon suplemento incluy piscina terapéutica cubierta sauna finlandesa baño turco jacuzzi vario tipo ducha fuent hielo gimnasio hotel situado 15 minuto pie puerto barcelona 100 metro estación metro bogatel animada zona villa olímpica queda 5 minuto pie toda habitacion incluyen 1 acceso gratuito persona estancia spa hotel sujeto disponibilidad previa reserva
Royal Ramblas,2417,8.3,"El Royal Ramblas está ubicado en las famosas Ramblas de Barcelona, a 100 metros de la plaza Catalunya. Ofrece habitaciones elegantes y modernas con aire acondicionado, TV de plasma, WiFi gratuita y aparcamiento privado. Algunas habitaciones tienen vistas magníficas a las Ramblas.

El hotel alberga una sala de reuniones con vistas excepcionales a las Ramblas.

El restaurante La Poma sirve un desayuno buffet con varios productos regionales y bollería casera. Tiene vistas impresionantes a las Ramblas y ofrece comida mediterránea.

El Royal Ramblas Hotel está muy bien ubicado. Tiene acceso a todos los servicios de transporte público y se halla a 5 minutos a pie del elegante paseo de Gracia, que cuenta con numerosos restaurantes y tiendas exclusivas. El centro histórico queda a poca distancia a pie, así como el mercado de La Boquería y el MACBA (Museo de Arte Contemporáneo de Barcelona). La playa está a 20 minutos.

El personal del mostrador de información turística del Royal Ramblas Barcelona ofrece información práctica sobre la ciudad y presta un servicio de alquiler de coches. También gestiona el servicio de enlace con el aeropuerto.",royal rambla ubicado famosa rambla barcelona 100 metro plaza catalunya ofrec habitacion elegant moderna air acondicionado tv plasma wifi gratuita aparcamiento privado habitacion vista magnífica rambla hotel alberga sala reunion vista excepcional rambla restaurant poma sirv desayuno buffet vario producto regional bollería casera vista impresionant rambla ofrec comida mediterránea royal rambla hotel bien ubicado acceso servicio transport público halla 5 minuto pie elegant paseo gracia cuenta numeroso restaurant tienda exclusiva centro histórico queda poca distancia pie así mercado boquería macba museo art contemporáneo barcelona playa 20 minuto person mostrador información turística royal rambla barcelona ofrec información práctica ciudad presta servicio alquil coch gestiona servicio enlac aeropuerto
Hotel Rialto,1789,8.5,"Este elegante hotel, situado justo al lado de las famosas Ramblas de Barcelona, ocupa un edificio histórico donde nació el artista Joan Miró. Las habitaciones del Hotel Rialto tienen aire acondicionado y TV de pantalla plana.

Cada habitación del Hotel Rialto presenta suelos de madera y un diseño sencillo y funcional. Los modernos cuartos de baño incluyen artículos de tocador básicos. Es posible alquilar una caja fuerte.

Los huéspedes pueden disfrutar de un variado desayuno bufé y de deliciosas comidas mediterráneas en el restaurante Miró del Rialto. También hay muchos restaurantes y animados bares en las calles circundantes.

La recepción 24 horas del Rialto ofrece información sobre la ciudad. El mercado de la Boquería y la catedral de Barcelona están a 400 metros. La estación de metro de Liceu se halla a solo 300 metros y la plaza de Cataluña, a 10 minutos a pie del hotel.",elegant hotel situado justo lado famosa rambla barcelona ocupa edificio histórico nació artista joan miró habitacion hotel rialto air acondicionado tv pantalla plana cada habitación hotel rialto presenta suelo madera diseño sencillo funcion moderno cuarto baño incluyen artículo tocador básico posibl alquilar caja fuert huésped pueden disfrutar variado desayuno bufé deliciosa comida mediterránea restaurant miró rialto restaurant animado bare call circundant recepción 24 hora rialto ofrec información ciudad mercado boquería catedr barcelona 400 metro estación metro liceu halla solo 300 metro plaza cataluña 10 minuto pie hotel
Barcelona Hotel Colonial,1728,8.4,"Este elegante hotel está situado en el Barrio Gótico de Barcelona y ocupa un imponente edificio colonial de piedra que tiene una torre con reloj. El establecimiento se encuentra a 10 minutos a pie de la catedral de Barcelona y de la playa de la Barceloneta.

Las habitaciones del Hotel Colonial son luminosas, están insonorizadas y cuentan con aire acondicionado, suelo de madera, TV de pantalla plana, minibar y baño privado con secador de pelo y artículos de aseo. Además, incluyen una caja fuerte de alquiler.

El desayuno buffet se sirve en la cafetería del Colonial Hotel. El elegante salón con sofás de cuero blanco ofrece periódicos gratuitos y WiFi gratuita.

El Barcelona Hotel Colonial dispone de mostrador de información turística. El hotel se halla a 5 minutos a pie del puerto deportivo de Barcelona y de las boutiques del moderno barrio del Born. También hay aparcamiento a 5 minutos a pie del establecimiento.",elegant hotel situado barrio gótico barcelona ocupa imponent edificio coloni piedra torr reloj establecimiento encuentra 10 minuto pie catedr barcelona playa barceloneta habitacion hotel coloni luminosa insonorizada cuentan air acondicionado suelo madera tv pantalla plana minibar baño privado secador pelo artículo aseo ademá incluyen caja fuert alquil desayuno buffet sirv cafetería coloni hotel elegant salón sofá cuero blanco ofrec periódico gratuito wifi gratuita barcelona hotel coloni dispon mostrador información turística hotel halla 5 minuto pie puerto deportivo barcelona boutiqu moderno barrio born aparcamiento 5 minuto pie establecimiento
Hotel Gótico,2084,8.6,"El Hotel Gótico está situado a 50 metros de la estación de metro Jaume I y a 2 minutos a pie de la catedral de Barcelona. Dispone de terraza en la azotea y elegantes habitaciones con aire acondicionado y TV vía satélite.

Las habitaciones están insonorizadas, presentan un precioso suelo de baldosa y cuentan con calefacción, caja fuerte, escritorio y baño privado con secador de pelo y artículos de aseo.

La recepción está abierta las 24 horas y hay un mostrador de información turística donde se pueden alquilar coches. En las inmediaciones se ofrece aparcamiento, disponible por un suplemento. El hotel está a solo 5 minutos a pie de La Rambla.",hotel gótico situado 50 metro estación metro jaum i 2 minuto pie catedr barcelona dispon terraza azotea elegant habitacion air acondicionado tv vía satélit habitacion insonorizada presentan precioso suelo baldosa cuentan calefacción caja fuert escritorio baño privado secador pelo artículo aseo recepción abierta 24 hora mostrador información turística pueden alquilar coch inmediacion ofrec aparcamiento dispon suplemento hotel solo 5 minuto pie rambla
