Name,Price,Score,Description
Cálamo Guesthouse,€ 482,9.1,"Cálamo Guesthouse es un alojamiento bien situado en el centro de Madrid que ofrece desayuno continental y wifi gratis. El alojamiento se encuentra a 10 min a pie de Museo Reina Sofía, a 1,2 km de Estación de tren de Atocha y a 7 min a pie de Museo Thyssen-Bornemisza. Este alojamiento hipoalergénico está a 17 min a pie de Parque de El Retiro.

En el hotel, todas las habitaciones disponen de escritorio. Las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también cuentan con balcón. En Cálamo Guesthouse, las habitaciones disponen de ropa de cama y toallas.

En la recepción se habla inglés, español, italiano y rumano, y el personal está dispuesto a ayudar en cualquier momento.

Cerca del alojamiento hay puntos de interés como Estación de metro Gran Vía, Gran Vía y Plaza Mayor de Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 13 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Only YOU Boutique Hotel Madrid,€ 927,9.3,"El Only You Boutique Hotel Madrid es un hotel boutique de 4 estrellas situado en un palacio restaurado del siglo XIX. Su diseño interior combina elementos modernos con detalles coloniales, creando un ambiente único y elegante en cada una de sus habitaciones decoradas de forma única.

La zona de salón del hotel ofrece un ambiente relajado y música de fondo suave, donde los huéspedes pueden disfrutar de una selección de cócteles y platos gourmet. El menú del día cambia regularmente y ofrece experiencias culinarias con ingredientes frescos y sabrosos.

Hay conexión wifi gratuita y servicio de habitaciones las 24 horas. El hotel cuenta con varios espacios y rincones, ideales para relajarse, disfrutar de un café o socializar con otros.

Las habitaciones están insonorizadas y equipadas con Smart TV de 42 pulgadas, soporte para iPhone/iPod y MP3, caja fuerte electrónica y minibar bien surtido. Los edredones de la cama están hechos de plumas de ganso, algodón y seda. El baño incluye albornoces suaves, zapatillas y artículos de aseo de lujo.

Este hotel de diseño está situado en el animado barrio de Salesas, a solo 20 minutos en coche del aeropuerto de Barajas y del centro de congresos IFEMA, por lo que es una opción ideal para una estancia excepcional en Madrid."
Hostal Silserranos,€ 319,8.8,"El Hostal Silserranos se encuentra entre Alonso Martínez y el barrio de Malasaña. Ofrece recepción 24 horas y conexión WiFi gratuita. El establecimiento está bien comunicado mediante transporte público, a 3 minutos a pie de la estación de metro Tribunal.

Todas las habitaciones disponen de aire acondicionado, camas individuales o dobles, TV por cable y armario. El baño privado incluye bañera o ducha, artículos de aseo gratuitos y secador de pelo. Se proporcionan toallas y ropa de cama.

El establecimiento cuenta con máquina expendedora de café. En la Plaza Dos de Mayo, a 250 metros, encontrará restaurantes, bares de tapas y tiendas.

El Hostal Silserranos goza de una ubicación céntrica, a 10 minutos a pie de la calle comercial Gran Vía y a 1 km de la Puerta del Sol. La Plaza de España se halla a 15 minutos a pie. Hay aparcamiento público en las inmediaciones."
JC Rooms Santo Domingo,€ 328,7.9,"En las reservas de 3 o más habitaciones se debe contactar primero con el alojamiento, ya que no se garantiza la disponibilidad.

El JC Rooms Santo Domingo es un hotel moderno ubicado en el centro de Madrid, junto a la plaza de Santo Domingo. Ofrece habitaciones con decoración temática, minibar gratuito y ducha de hidromasaje. Hay WiFi gratuita.

Todas las habitaciones tienen caja fuerte y TV HD de pantalla plana. El minibar se repone a diario.

Este hotel JC Rooms cuenta con recepción 24 horas que ofrece información turística, entre otros servicios.

Se puede prestar un servicio de traslado al aeropuerto por un suplemento. La estación de metro Santo Domingo se encuentra a 350 metros y la avenida Gran Vía está a 15 minutos a pie."
Catalonia Atocha,€ 550,8.8,"Este hotel elegante ofrece terraza amueblada en la azotea con piscina pequeña de temporada, bar y magníficas vistas a Madrid. Las habitaciones disponen de wifi gratuita y TV de pantalla plana vía satélite. La estación de tren de Atocha está a 500 metros.

El Hotel Catalonia Atocha se encuentra a 600 metros del Museo Reina Sofía y del Museo del Prado. Está a 10 minutos a pie de la zona de tapas de La Latina. La estación de metro Antón Martín se encuentra a 50 metros.

Las habitaciones están decoradas en elegantes tonos claros y cuentan con aire acondicionado y suelo de madera. Disponen de minibar y caja fuerte. Incluyen baño con ducha grande. Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El Catalonia Atocha sirve cada mañana un desayuno buffet con bollería, queso y embutidos locales. El restaurante sirve cocina tradicional española y también hay un bar cafetería."
,€ 461,8.3,"El Espahotel Gran Vía Madrid está junto a la Plaza España y a 800 metros de la Puerta del Sol de Madrid. Ofrece apartamentos estudio con conexión Wi-Fi y TV vía satélite.

Los apartamentos del Espahotel Gran Via tienen suelo de moqueta, baño con secador de pelo y artículos de aseo, calefacción central, aire acondicionado y zona de cocina con nevera. También hay microondas disponible bajo petición.

El complejo cuenta con recepción las 24 horas y ofrece servicios de alquiler de coches y de lavandería. Hay servicio de habitaciones.

El Espahotel Gran Vía está muy bien situado en una zona céntrica, a 500 metros del palacio real y el teatro real y a 600 metros de la calle comercial de Fuencarral."
PdV rooms,€ 165,7.6,"PdV rooms está en el centro de Madrid, a 2 min a pie de Mercado de San Miguel y a 500 metros de Plaza Mayor de Madrid, y ofrece alojamiento con wifi gratis.

Cerca del alojamiento hay puntos de interés como Puerta del Sol, Estación de metro Plaza de España y Royal Palace of Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 15 km."
Rincón de Gran Vía,€ 437,8.2,"El Rincón de Gran Vía está situado en la Gran Vía, a solo 50 metros de la estación de metro de Plaza de España, y ofrece habitaciones preciosas con WiFi gratuita. La recepción está abierta las 24 horas.

Todas las habitaciones de El Rincón de Gran Vía son amplias y cuentan con aire acondicionado, suelo de madera, TV vía satélite, minibar y set de té y café.

Cerca del establecimiento hay varios bares, cafeterías y restaurantes. Además, la famosa Puerta del Sol queda a unos 10 minutos a pie.

El Rincón se encuentra a 10 minutos a pie de la catedral de la Almudena y del Palacio Real y sus jardines. El Museo del Prado y el Museo Reina Sofía están situados a 4 paradas de metro. El aeropuerto de Barajas se halla a 30 minutos en metro."
Gran Central Suites,€ 417,8.0,"Gran Central Suites se encuentra en el centro de Madrid, a 8 min a pie de Gran Vía y a 800 metros de Estación de metro Gran Vía, y ofrece alojamiento con wifi gratis y zona de estar.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También se ofrece nevera, microondas y fogones, además de cafetera y hervidor.

Se puede descubrir la zona practicando ciclismo en los alrededores.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Templo de Debod y Royal Palace of Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 18 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Hostal Abel Victoriano,€ 305,7.8,"Este hostal está situado en el centro de Madrid, cerca del animado barrio de Malasaña. Ofrece alojamientos elegantes con conexión wifi gratuita a solo 5 minutos a pie de la plaza de España.

Todas las habitaciones del Hostal Abel Victoriano presentan una decoración elegante con suelo de parquet, cuadros y estampados de colores y artículos de aseo gratuitos.

El personal de la recepción del Hostal Abel Victoriano habla inglés. También hay consigna de equipaje. El personal puede proporcionar información turística.

La Gran Vía está a solo 500 metros, mientras que el Palacio Real de la Almudena y el barrio de Chueca se encuentran a 15 minutos a pie.

La estación de metro Noviciado, situada a solo 30 metros, ofrece conexiones con el resto de la ciudad. También hay autobuses urbanos regulares que salen justo del hotel."
