Name,Price,Score,Description
Cálamo Guesthouse,€ 1.068,9.1,
"El Autor Hotel, Madrid, Autograph Collection",€ 2.811,10.0,"El Autor Hotel, Madrid, Autograph Collection, que cuenta con centro de fitness, restaurante y bar, se encuentra en el centro de Madrid, a 3 min a pie de Museo Thyssen-Bornemisza. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay piscina cubierta y vistas a la ciudad.

Todas las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En El Autor Hotel, Madrid, Autograph Collection, todas las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, a la carta o americano.

Cerca del alojamiento hay puntos de interés como Estación de metro Gran Vía, Parque de El Retiro y Museo Reina Sofía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
Apartamentos EconoStay Plaza de España,€ 570,7.3,"Apartamentos EconoStay Plaza de España está en el centro de Madrid, a 6 min a pie de Gran Vía y a 700 metros de Estación de metro Gran Vía, y ofrece alojamiento con wifi gratis.

Algunas unidades están equipadas con aire acondicionado, TV de pantalla plana, lavadora, cafetera y cocina.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Museo Thyssen-Bornemisza y Templo de Debod. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km."
Live it Madrid Gran Vía,€ 412,6.9,"Live it Madrid Gran Vía está muy bien situado en el barrio de Centro de Madrid, Madrid, a 3 min a pie de Estación de metro Gran Vía, a 1,2 km de Museo Thyssen-Bornemisza y a 7 min a pie de Estación de metro Plaza de España. El alojamiento está cerca de Templo de Debod, de Royal Palace of Madrid y de Museo Reina Sofía. El alojamiento está a pocos pasos de Gran Vía y a 300 metros del centro de la ciudad.

En el hostal o pensión, las habitaciones disponen de armario. Las habitaciones del alojamiento tienen baño compartido con artículos de aseo gratuitos. También cuentan con wifi gratis, y algunas de las habitaciones también ofrecen vistas a la ciudad. En Live it Madrid Gran Vía, cada habitación cuenta con ropa de cama y toallas.

El personal de la recepción habla tanto inglés como español y estará encantado de ayudar en cualquier momento.

Cerca del alojamiento hay puntos de interés como Mercado de San Miguel, Puerta del Sol y Plaza Mayor de Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 13 km."
Apartamentos EconoStay Barbieri 1,€ 424,6.1,"Apartamentos EconoStay Barbieri 1 está en el centro de Madrid, a 5 min a pie de Estación de metro Gran Vía y a 700 metros de Museo Thyssen-Bornemisza, y ofrece alojamiento con wifi gratis.

El alojamiento tiene aire acondicionado, cocina totalmente equipada, TV de pantalla plana y baño privado con ducha.

Cerca del alojamiento hay puntos de interés como Gran Vía, Parque de El Retiro y Museo Reina Sofía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
Hostal Flat55Madrid,€ 738,8.0,"Este luminoso y colorido hostal te permitirá disfrutar del ambiente animado y cosmopolita de Madrid. Se sirve el desayuno todos los días.

Las modernas habitaciones con aire acondicionado del hostal Hostal Flat55Madrid presentan un diseño elegante y contemporáneo que contribuye al ambiente joven de la propiedad. Las comodidades modernas incluyen televisores con reproductores de DVD. Algunos baños son compartidos y hay wifi en todo el establecimiento.

El Hostal Flat55Madrid se encuentra en el centro histórico de la ciudad, que data del siglo XIX, cerca de las calles comerciales más importantes que hay alrededor de Gran Vía y Fuencarral."
Urban Inn Madrid,€ 316,7.3,"Urban Inn Madrid se encuentra en el centro de Madrid, a 7 min a pie de Gran Vía, yofrece habitaciones con aire acondicionado y wifi gratis. El alojamiento está a unos 3 min a pie de Estación de metro Plaza de España, a 1 km de Templo de Debod y a 11 min a pie de Royal Palace of Madrid. Este alojamiento libre de humo se encuentra a 9 min a pie de Estación de metro Gran Vía.

Las unidades de este alojamiento están equipadas con hervidor. Las habitaciones de este alojamiento tienen baño compartido con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la ciudad. Las habitaciones incluyen ropa de cama.

En recepción se hablan varios idiomas, como inglés y español.

Cerca del alojamiento hay puntos de interés como Museo Thyssen-Bornemisza, Mercado de San Miguel y Plaza Mayor de Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km."
Hostal Aguilar,€ 1.060,9.0,"Este hostal, de excelente relación calidad-precio y alojamiento sencillo, está a pocos pasos de los principales puntos de interés de esta capital monumental, incluyendo la histórica Puerta del Sol o la Plaza Mayor.

Las habitaciones del Hostal Aguilar disponen de baño y tv, y son espacios ideales para relajarse por la noche, tras un largo día de turismo.

Este hostal también dispone de recepción 24 horas, para que pueda salir de fiesta hasta altas horas de la madrugada, por esta ciudad con infinidad de restaurantes, bares y clubes nocturnos, a pocos pasos."
Hotel Princesa Plaza Madrid,€ 1.292,8.2,"El Princesa Plaza está situado al oeste de Madrid, en el distrito de Argüelles. Las habitaciones del hotel son elegantes y algunas cuentan con una reproducción de grandes dimensiones de uno de los cuadros famosos del Museo del Prado.


El hotel Princesa dispone de habitaciones amplias con ventanas grandes, zona de estar, TV vía satélite y aire acondicionado.

El Princesa Plaza está cerca de la plaza de España, la Gran Vía y el Palacio Real. Se proporcionan servicios de alquiler de coches y de cambio de divisa.

El hotel dispone de mostrador de información turística y ofrece información sobre una compañía que organiza el servicio de traslado por un suplemento."
Hostal A Nuestra Senora de La Paloma,€ 917,8.4,"Este hostal económico goza de una ubicación excepcional en el centro de Madrid, a 250 metros de la Puerta del Sol. Ofrece WiFi gratis en todas sus instalaciones.

El hostal A Nuestra Señora de La Paloma dispone de habitaciones con aire acondicionado, TV y calefacción. Algunas tienen baño privado, balcón o vistas a la ciudad.

La recepción permanece abierta las 24 horas y su amable personal puede ayudar a organizar visitas turísticas. Hay consigna de equipaje gratuita.

El establecimiento se halla a 2 minutos a pie de la Plaza Mayor y está rodeado de tiendas, bares y restaurantes. El Palacio Real de Madrid está a 10 minutos a pie y la Puerta de Atocha, a menos de 2 km. El aeropuerto de Madrid-Barajas se encuentra a 20 minutos en coche."
