Name,Price,Score,Description,Cleaned_Description
"El Autor Hotel, Madrid, Autograph Collection",2811,10.0,"El Autor Hotel, Madrid, Autograph Collection, que cuenta con centro de fitness, restaurante y bar, se encuentra en el centro de Madrid, a 3 min a pie de Museo Thyssen-Bornemisza. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay piscina cubierta y vistas a la ciudad.

Todas las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En El Autor Hotel, Madrid, Autograph Collection, todas las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, a la carta o americano.

Cerca del alojamiento hay puntos de interés como Estación de metro Gran Vía, Parque de El Retiro y Museo Reina Sofía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km.",autor hotel madrid autograph collect cuenta centro fit restaurant bar encuentra centro madrid 3 min pie museo hotel 5 estrella ofrec servicio habitacion recepción 24 hora piscina cubierta vista ciudad toda unidad hotel equipada air acondicionado zona tv pantalla plana canal vía satélit caja fuert baño privado ducha artículo aseo gratuito secador pelo autor hotel madrid autograph collect toda habitacion cuentan ropa cama toalla alojamiento pued disfrutar desayuno buffet carta americano cerca alojamiento punto interé estación metro gran vía parqu retiro museo reina sofía aeropuerto aeropuerto adolfo suárez madrid baraja 12 km
Hostal Flat55Madrid,738,8.0,"Este luminoso y colorido hostal te permitirá disfrutar del ambiente animado y cosmopolita de Madrid. Se sirve el desayuno todos los días.

Las modernas habitaciones con aire acondicionado del hostal Hostal Flat55Madrid presentan un diseño elegante y contemporáneo que contribuye al ambiente joven de la propiedad. Las comodidades modernas incluyen televisores con reproductores de DVD. Algunos baños son compartidos y hay wifi en todo el establecimiento.

El Hostal Flat55Madrid se encuentra en el centro histórico de la ciudad, que data del siglo XIX, cerca de las calles comerciales más importantes que hay alrededor de Gran Vía y Fuencarral.",luminoso colorido hostal permitirá disfrutar ambient animado cosmopolita madrid sirv desayuno día moderna habitacion air acondicionado hostal hostal flat55madrid presentan diseño elegant contemporáneo contribuy ambient joven propiedad comodidad moderna incluyen televisor reproductor dvd baño compartido wifi establecimiento hostal flat55madrid encuentra centro histórico ciudad data siglo xix cerca call comercial important alrededor gran vía fuencarr
Urban Inn Madrid,316,7.3,"Urban Inn Madrid se encuentra en el centro de Madrid, a 7 min a pie de Gran Vía, yofrece habitaciones con aire acondicionado y wifi gratis. El alojamiento está a unos 3 min a pie de Estación de metro Plaza de España, a 1 km de Templo de Debod y a 11 min a pie de Royal Palace of Madrid. Este alojamiento libre de humo se encuentra a 9 min a pie de Estación de metro Gran Vía.

Las unidades de este alojamiento están equipadas con hervidor. Las habitaciones de este alojamiento tienen baño compartido con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la ciudad. Las habitaciones incluyen ropa de cama.

En recepción se hablan varios idiomas, como inglés y español.

Cerca del alojamiento hay puntos de interés como Museo Thyssen-Bornemisza, Mercado de San Miguel y Plaza Mayor de Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km.",urban inn madrid encuentra centro madrid 7 min pie gran vía yofrec habitacion air acondicionado wifi grati alojamiento 3 min pie estación metro plaza españa 1 km templo debod 11 min pie royal palac of madrid alojamiento libr humo encuentra 9 min pie estación metro gran vía unidad alojamiento equipada hervidor habitacion alojamiento baño compartido ducha artículo aseo gratuito ofrecen vista ciudad habitacion incluyen ropa cama recepción hablan vario idioma inglé español cerca alojamiento punto interé museo mercado san miguel plaza mayor madrid aeropuerto aeropuerto adolfo suárez madrid baraja 19 km
Hostal Aguilar,1060,9.0,"Este hostal, de excelente relación calidad-precio y alojamiento sencillo, está a pocos pasos de los principales puntos de interés de esta capital monumental, incluyendo la histórica Puerta del Sol o la Plaza Mayor.

Las habitaciones del Hostal Aguilar disponen de baño y tv, y son espacios ideales para relajarse por la noche, tras un largo día de turismo.

Este hostal también dispone de recepción 24 horas, para que pueda salir de fiesta hasta altas horas de la madrugada, por esta ciudad con infinidad de restaurantes, bares y clubes nocturnos, a pocos pasos.",hostal excelent relación alojamiento sencillo poco paso principal punto interé capit monument incluyendo histórica puerta sol plaza mayor habitacion hostal aguilar disponen baño tv espacio ideal relajars noch tra largo día turismo hostal dispon recepción 24 hora pueda salir fiesta alta hora madrugada ciudad infinidad restaurant bare clube nocturno poco paso
Hostal A Nuestra Senora de La Paloma,917,8.4,"Este hostal económico goza de una ubicación excepcional en el centro de Madrid, a 250 metros de la Puerta del Sol. Ofrece WiFi gratis en todas sus instalaciones.

El hostal A Nuestra Señora de La Paloma dispone de habitaciones con aire acondicionado, TV y calefacción. Algunas tienen baño privado, balcón o vistas a la ciudad.

La recepción permanece abierta las 24 horas y su amable personal puede ayudar a organizar visitas turísticas. Hay consigna de equipaje gratuita.

El establecimiento se halla a 2 minutos a pie de la Plaza Mayor y está rodeado de tiendas, bares y restaurantes. El Palacio Real de Madrid está a 10 minutos a pie y la Puerta de Atocha, a menos de 2 km. El aeropuerto de Madrid-Barajas se encuentra a 20 minutos en coche.",hostal económico goza ubicación excepcion centro madrid 250 metro puerta sol ofrec wifi grati toda instalacion hostal señora paloma dispon habitacion air acondicionado tv calefacción baño privado balcón vista ciudad recepción permanec abierta 24 hora amabl person pued ayudar organizar visita turística consigna equipaj gratuita establecimiento halla 2 minuto pie plaza mayor rodeado tienda bare restaurant palacio real madrid 10 minuto pie puerta atocha meno 2 km aeropuerto encuentra 20 minuto coch
ITC Infantas by Soho Boutique,1462,8.2,"El ITC Infantas by Soho Boutique está ubicado en Madrid, a pocos metros de la Gran Vía, rodeado de los restaurantes y bares de la popular zona de Chueca. Ofrece WiFi gratuita en todas las instalaciones.

Las habitaciones de este encantador edificio del siglo XIX están equipadas con aire acondicionado, TV de pantalla plana, caja fuerte para ordenador portátil y baño grande con artículos de aseo. También hay una carta de almohadas y servicio de habitaciones 24 horas.

En la recepción 24 horas hay un mostrador de información turística con servicio de alquiler de coches y bicicletas e información sobre la zona. También se ofrece un ordenador de uso gratuito.

El ITC Infantas by Soho Boutique se encuentra a solo 500 metros de la Puerta del Sol y a 700 metros del Museo del Prado y del Museo Thyssen-Bornemisza. Las estaciones de metro Banco de España y Gran Vía quedan a unos 200 metros.",itc infanta by soho boutiqu ubicado madrid poco metro gran vía rodeado restaurant bare popular zona chueca ofrec wifi gratuita toda instalacion habitacion encantador edificio siglo xix equipada air acondicionado tv pantalla plana caja fuert ordenador portátil baño grand artículo aseo carta almohada servicio habitacion 24 hora recepción 24 hora mostrador información turística servicio alquil coch bicicleta información zona ofrec ordenador uso gratuito itc infanta by soho boutiqu encuentra solo 500 metro puerta sol 700 metro museo prado museo estacion metro banco españa gran vía quedan 200 metro
Hostal New Dream Madrid,867,7.9,"Hostal New Dream Madrid es un alojamiento muy bien situado en el centro de Madrid que ofrece desayuno continental y wifi gratis en todo el alojamiento. El alojamiento está cerca de Gran Vía, de Estación de metro Gran Vía y de Estación de metro Plaza de España. Algunas habitaciones del alojamiento incluyen un balcón con vistas a la ciudad.

En la recepción 24 horas se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

Cerca del alojamiento hay puntos de interés como Templo de Debod, Royal Palace of Madrid y Museo Thyssen-Bornemisza. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 18 km.",hostal new dream madrid alojamiento bien situado centro madrid ofrec desayuno continent wifi grati alojamiento alojamiento cerca gran vía estación metro gran vía estación metro plaza españa habitacion alojamiento incluyen balcón vista ciudad recepción 24 hora habla inglé español person encantado ayudar cualquier momento cerca alojamiento punto interé templo debod royal palac of madrid museo aeropuerto aeropuerto adolfo suárez madrid baraja 18 km
Edificio Leganitos,1070,8.1,"Edificio Leganitos está en el centro de Madrid y ofrece alojamiento bien equipado y con wifi gratis a 7 min a pie de Gran Vía y a 800 metros de Estación de metro Gran Vía.

Algunas unidades están equipadas con aire acondicionado, TV de pantalla plana, lavadora, cafetera y cocina.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Museo Thyssen-Bornemisza y Templo de Debod. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km.",edificio leganito centro madrid ofrec alojamiento bien equipado wifi grati 7 min pie gran vía 800 metro estación metro gran vía unidad equipada air acondicionado tv pantalla plana lavadora cafetera cocina cerca alojamiento punto interé estación metro plaza españa museo templo debod aeropuerto aeropuerto adolfo suárez madrid baraja 19 km
Hostal Adis,1205,8.4,"El Hostal Adis se encuentra en el centro de Madrid, a solo 200 metros de Puerta del Sol. Hay recepción 24 horas y WiFi gratuita.

Las habitaciones tienen aire acondicionado, suelo de baldosa, calefacción, balcón, escritorio, TV de pantalla plana y baño privado con bañera y artículos de aseo.

En las inmediaciones hay multitud de tiendas, bares y restaurantes.

El Museo del Prado está a 10 minutos a pie.",hostal adi encuentra centro madrid solo 200 metro puerta sol recepción 24 hora wifi gratuita habitacion air acondicionado suelo baldosa calefacción balcón escritorio tv pantalla plana baño privado bañera artículo aseo inmediacion multitud tienda bare restaurant museo prado 10 minuto pie
Hostal New Life Madrid,687,7.5,"El Hostal New Life Madrid se encuentra en el centro de Madrid, a solo 2 minutos a pie del animado barrio de Malasaña. Ofrece recepción 24 horas y habitaciones modernas con conexión Wi-Fi gratuita y TV de pantalla plana.

Las habitaciones presentan una decoración contemporánea con suelo de madera. Algunas disponen de baño privado elegante y otras tienen aseo compartido.

En las calles de los alrededores del Hostal New Life Madrid hay numerosas cafeterías y tiendas con encanto.

La plaza de España se encuentra a 5 minutos a pie y la estación de metro de Noviciado conecta fácilmente con el resto de la ciudad.",hostal new life madrid encuentra centro madrid solo 2 minuto pie animado barrio malasaña ofrec recepción 24 hora habitacion moderna conexión gratuita tv pantalla plana habitacion presentan decoración contemporánea suelo madera disponen baño privado elegant aseo compartido call alrededor hostal new life madrid numerosa cafetería tienda encanto plaza españa encuentra 5 minuto pie estación metro noviciado conecta fácilment resto ciudad
