Name,Price,Rating,Detail Link,stars,center,num_coments,Description
Room Mate Oscar,€ 1.069,"Puntuación: 8,78,7",https://www.booking.com/hotel/es/room-mate-oscar.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=9700302_88196586_0_2_0_310954&highlighted_blocks=9700302_88196586_0_2_0_310954&matching_block_id=9700302_88196586_0_2_0_310954&sr_pri_blocks=9700302_88196586_0_2_0_310954_106916&from=searchresults,3,NA,2.795,"El Room Mate Oscar es un hotel elegante ubicado en el centro de Madrid, entre la Gran Vía y la zona de Chueca. Cuenta con WiFi gratuita, bar en la azotea y habitaciones con TV de pantalla plana.

El Room Mate Oscar presenta una decoración elegante en colores vivos. Las habitaciones tienen aire acondicionado y son amplias y confortables. Además, disponen de minibar y baño totalmente equipado.

El restaurante del hotel sirve un desayuno buffet. La azotea alberga un bar con terraza y vistas fantásticas a Madrid. Se ofrecen comidas sin gluten bajo petición.

Hay salas para conferencias y reuniones. Se facilitan dispositivos WiFi portátiles.

El Room Mate Oscar Madrid se halla a unos 10 minutos a pie de numerosos bares, restaurantes y cafeterías. La Plaza Mayor y la zona de la Puerta del Sol quedan a menos de 800 metros. La estación de metro Gran Vía está a 5 minutos a pie del hotel.

Este hotel ha sido galardonado por la calidad de sus instalaciones adaptadas para huéspedes con movilidad reducida."
"El Autor Hotel, Madrid, Autograph Collection",€ 2.409,"Puntuación: 9,59,5",https://www.booking.com/hotel/es/el-autor-madrid-autograph-collection.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=1301640802_403085051_0_2_0&highlighted_blocks=1301640802_403085051_0_2_0&matching_block_id=1301640802_403085051_0_2_0&sr_pri_blocks=1301640802_403085051_0_2_0__240900&nad_id=6fd2d1da-7a1d-43d8-9f75-8d1bcb9a52af_1&nad_cpc=0.96&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Mzg2ODE1NDI1ODcsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiWS83dWp0QUZDWFEra2V0Z0owYXNSWVZGSnh1NkNjaVdqd1pWNTlGdFJObjFpQTdhV3V3NFQrbVJVS3Q4NjQzN2ljdWQ3ZVZKd0ZaUDB2TGJrRnZOMjNRci9zK1FDRWNyMjhRd0RVMXdMU3pKck9qY1YyRGNvelErSXFSeUF5VnM4cVc2TE5lOVYvSGJSV3dFUTI3YXhkMDBwUHd0bStKWnI1c2NYVmh4Y245bGJiYTRNbzd2Y05zZnBVeFI3WTYxRFF2SFl6ZnIxVjFjL05QV2pnd2JBRHptU0RoY0tYN0wyNlJnYXowWlg5MjBkVDVKd2JlVmZmckhKeExhenIyRkdDMmpiZVFiV1BmWkJuUlFkTldkcnBnOFNDOENHT0VJaGswaWNhWFRrL2U4N3ZXSTF2b2Y2OVJmTXcrekdUSmU5TjJPKzR0aFBXd3ZNSFhMV3FNQkR3WlE1dUV4NXVUR1dZYVlxcFRrOU9jc0JwQzFjZkxHSjA5ZUUwWDhTME1qS0dzdDh0Nlgwb3VXTHRrTldEYUFUb29yaWhUdjQwQWpmSlhpVUIzNFR2UG9zbHE2MjRpY2dvcS93Uk9ubzFEUFJRY3JYS2ZHUHRxYVdSeUVZeGJBeDAvR1I1ZlkrNCtFSkJCN0M3VTNDOEJVMHA1N0x2aWFNaWIxcVBNaVpJMkpZRVYxaDdYeEZDVkEwUG5pczZBOWJiUjVFZ0FXNndLWlZlb1hTZ2RhOEEzOGVrOVhOZkZWVWdlclBUV1B4dU8rMmZNSGxoaDIyUjFVQ25Bb0JZZjdYcjllaVFjd0FXSGN4OTVINGlKcTBUT1BCN3cxdGdJZUtIL2RJbnV0SzdPclhBemp3ZXcwenVCS3JHN3FqcFN6TGN3NWRCUzcwUlJzVlRMbWVIeXZ5eDBiTXFxSVJEc1dPNmRlNXptV2s3cGtWemt2NW9lZzEvQkVjYUZwNUZpZVJ4U2ViOEw1QzEzcXNJb1JMclliR0w3dW0rRUE4MjNKL0dZZkhkSllmTXg1Kzk2SlIrdVdDYUMybWdQa3FMb0N5TUFoWFRqSFNNN2dOU3RJREtRa0VsQXQ0bkZmenRJUHEzM2Z3TmNmbnQ2czNBMkZzNFRUZ2hhd0xZNGUySG03NE1MWDVxNG1VRHRGNzM2U3NyYmovR1R0N3hpdWlvay9aUlVqYjh4blE3Qi9BUnlqZFdLb2lXNUxPQUkzcHhjWTg4UW5LWThacm54Sk9VOFNITzRyN3ZBeTJVZ3dWVjlnRS9rbXhFQVhqdkQrMmVNU3FHSjFEWHAzd0tObHpObU1LMXBEV1BORy9nVVhsbjMwWVpQZFJiNEV3UVgvdG1lbEQwaFZHMWtRTU43enYzdGdpZU1UaEh5bEdsWmRUbmhjRTJCNGZOdi9KQzBqK283OXIzWXFxRW5oYXR5QWhoQjBLblZzNGJra2pzY3ZWWU1rYUx2L25OeHlkbVZYZFhNcVduU0FIejZ4VmVpU3U3bWlFbHc5L0xMM1Z5TnFyR2lHZ0h4cm1hRVFyR2NQWGkra1RlWmxleER2c3VESG0vNlkrZWFja2FQU0dVMkJ3U0xEc0w4ZDltZ2lQTG5qZFNpdXpKWHJsZW5TbU0wOWFnTlJsbmtQVDVWMHlDTmFsQWJjTm41TXIzSFU2VHhFcnVGamp5cExHVm91TzJnT2l6bFZTdnJRa2Q0dFBDNWxHR002cWdZbWx2djlmMlZ1T2dQSUx2TndvZ1FyM05ZUjJWSUl0bGkxbkpaYytwSS9PMVBBZzlDaEppbkV3MElBdXpld2U1ZnN1TlNEWjFRa0VCT2VBSEJRY09RK0lCaWYzR1dRZVZxT1BiNTBmL1BhVW1NQjBPSzJFRnBRVGdqOGxFVk1SVzFUQmR1a0VrcHJqZHVuOEVFZWFaeDFJMnpibXUzTmRKTm1CQWNRSkhRbjE0SENmbjAvbDR3TFhVeGFQWDV5QzA3Z3lmMENPZTgzQ2Nhcit4WDlQYXlKQzlFQlgxa3RGS2cvZnFRWEg4bi9WNzl6RlVqZ2FHdzRGaWNxN3JxeU1CdGw1S3ZCTXRIblBZK2dDV0lSUlltOFlQL0tXSCtyRUZaQks5d3J3RldDVk0wOHEzL29zck51eFd6VEU5cjc3RTBHSWd5MENRR3ZJa1I3VzB0T1BTVDVpOW9vdFc3cW5LN3JBUHB1cFF2MjgzMUJPa2x3N3NqZWl3RXU4bU5RczdXbENhK0srODMwOWJYMDhFWVF2angwQkl1UUdJbjZxYWl2eTVnOUcyTW9qYmNkMWxKYU13eU5uakFnMVZzOFdjY0hGWXg3Z0x1N3ZsRHZqckh5ekZhMVJVY0x0bDhhRTlSZU13K0Vka0pNOEt5Sm03TWYweFpaYlh0WkFCUnlseW85RW93dGd1S0NRK2I2S1JyT3g2U0IzaC96N0I3dDVaZXVVSGdhUG1CRFNUOUVtQ3hSVTdUQ0EzcTJJWkJJLy8zL0dHR01TNk1GeGRhMStnbnlqYkJoSC9CcTJxTmVrTmEyYlYzNlA5NGxMRURtWHhoWW4rRlN1Y1BJZTFWajlLNWkyQk53SzFjdWhlenh6OTVPRnZwa1BYdzB3aUE0SkJpYXh4Zm40SzNPSkNpQXAwRnA4NDZtLzlBRTNmdkdML0FmNlBTaTY0bXdJVVVOZ2I3UlYyQ014SDF5NnR4Rzc4SlFja1BaWWt4OGV3ZzhjdFh2NmxrOXF4MHlqbGpiUHZGTStTb3BraXlHVDJEdklQczZDQ3I4MlU3WUpiNVBTWkhXRlZCMUVHYVBtTGJMamxoOTQ2azFOdnJRVmM2N0dGVGNWczc2aEpVWDdUQUZZYWttUTF2U3EwZlFjaDNzbHBaMmNnNU5MNW1rT0lFYVBKQ0pzVEhqblVPQzZHdVI2NHg1cjduVFRvTkg3SWEyZHNDNnhhS1h1RFFGaXc3bFNBNENvN2dVTnBwWTlzemkwMExydmZ2ZVFySlVhKzNxQXFWajl5cW5ZcGVtNEVnTm9FRDRLZGozZXJ3ZHJXMnBCT2IvMHhPckJ4ZXJZRnlTWk1YTjhlVEczellHQzRKY2h5cEMyK3BEZlozeWdHSGE1azlxQ2FRQ2JMeXNnaGN4VWNVVStteE00TkZqdlFhakFUMjlkT0hIVVltc0hFS1FDdnZuMWdRU0FnUFY2cTM3YjJacGV3OWJnem54WXpxayt0K0FNZ0JxME4wTktlZExtYjlkODNCdE5JTXNmaFdnWW5DTGdUSUl6cjMyWUgydWpLTDhUS3dYQ2Eyc1JXUkNaS3h1L0RiZ0ZIUEk2NDdVMUs3ZWRPdDNRMEk4SDU4RUJrK0RuUDZYV2thclBrQ1pmZ3dhaEdSWmI5UXhpVmYrWmVkMEc5TGczNm89In0%3D&from=searchresults,5,NA,2,"El Autor Hotel, Madrid, Autograph Collection, que cuenta con centro de fitness, restaurante y bar, se encuentra en el centro de Madrid, a 3 min a pie de Museo Thyssen-Bornemisza. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay piscina cubierta y vistas a la ciudad.

Todas las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales vía satélite, caja fuerte y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En El Autor Hotel, Madrid, Autograph Collection, todas las habitaciones cuentan con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet, a la carta o americano.

Cerca del alojamiento hay puntos de interés como Estación de metro Gran Vía, Parque de El Retiro y Museo Reina Sofía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
Hostal Mendoza,€ 584,"Puntuación: 7,97,9",https://www.booking.com/hotel/es/mendoza.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=43951102_88209536_0_0_0&highlighted_blocks=43951102_88209536_0_0_0&matching_block_id=43951102_88209536_0_0_0&sr_pri_blocks=43951102_88209536_0_0_0__58400&from=searchresults,1,NA,1.876,"El Hostal Mendoza, situado en el centro de la ciudad de Madrid y a solo 20 metros de la Gran Vía, dispone de habitaciones individuales o dobles modernas con conexión Wi-Fi gratuita y taquillas gratuitas. Hay aparcamiento público en los alrededores.

Todas las habitaciones están insonorizadas y tienen aire acondicionado, suelo de madera, escritorio, TV de pantalla plana de 42 pulgadas con puerto USB, armario y baño privado con ducha, artículos de aseo gratuitos y toallas. Además, hay taquillas gratuitas.

El establecimiento está rodeado de discotecas y bares conocidos, restaurantes típicos, tiendas y lugares de interés cultural. Además, se encuentra a 350 metros de la Puerta del Sol y a menos de 3 minutos a pie de El Corte Inglés.

El Hostal Mendoza se encuentra en una calle tranquila del centro, bien comunicada en transporte público y a 150 metros de las estaciones de metro de Gran Vía y Callao.

La calle Alcalá está a 15 minutos a pie. El personal del establecimiento puede facilitar información sobre los numerosos lugares de interés que hay en Madrid, así como reservar transporte, entradas para espectáculos y mesas en restaurantes.

Hay aparcamiento público en las inmediaciones por un suplemento."
1 bedroom 1 bathroom furnished - Justicia - Modern - MintyStay,€ 675,"Puntuación: 8,28,2",https://www.booking.com/hotel/es/1-bedroom-1-bathroom-furnished-justicia-modern-mintystay.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=1124441702_385522969_2_0_0&highlighted_blocks=1124441702_385522969_2_0_0&matching_block_id=1124441702_385522969_2_0_0&sr_pri_blocks=1124441702_385522969_2_0_0__67481&from=searchresults,3,NA,23,"1 bedroom 1 bathroom furnished - Justicia - Modern - MintyStay está en el centro de Madrid, a 15 min a pie de Museo Thyssen-Bornemisza y a 1,1 km de Estación de metro Gran Vía, y ofrece wifi gratis y aire acondicionado. Este apartamento está a 3 km de Templo de Debod y a 3,6 km de Royal Palace of Madrid.

El apartamento tiene 1 dormitorio, una cocina con nevera y lavavajillas, y 1 baño con ducha, secador de pelo y lavadora. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Gran Vía, Parque de El Retiro y Estación de metro Plaza de España. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
Amor de Dios 17 Boutique Apartments,€ 752,"Puntuación: 7,87,8",https://www.booking.com/hotel/es/amor-de-dios-17.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=294063007_109580026_2_0_0_635949&highlighted_blocks=294063007_109580026_2_0_0_635949&matching_block_id=294063007_109580026_2_0_0_635949&sr_pri_blocks=294063007_109580026_2_0_0_635949_75200&from=searchresults,4,NA,1.090,"Amor de Dios 17 Boutique Apartments ofrece alojamiento con aire acondicionado en el centro de Madrid, a 13 min a pie de Plaza Mayor de Madrid, a 700 metros de Museo Reina Sofía y a 12 min a pie de Estación de tren de Atocha. Se ofrece wifi gratis en todo el alojamiento.

Cada unidad cuenta con cocina totalmente equipada con mesa de comedor, TV de pantalla plana con canales vía satélite y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También hay nevera, microondas y fogones, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Mercado de San Miguel, Museo Thyssen-Bornemisza y Puerta del Sol. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 15 km."
Apartamento Plaza Mayor centrico,€ 534,"Puntuación: 6,86,8",https://www.booking.com/hotel/es/amazinn-places-postas-4d.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=910656107_362342072_2_0_0&highlighted_blocks=910656107_362342072_2_0_0&matching_block_id=910656107_362342072_2_0_0&sr_pri_blocks=910656107_362342072_2_0_0__53391&from=searchresults,3,NA,116,"Apartamento Plaza Mayor centrico ofrece alojamiento con wifi gratis, cocina, nevera, horno y microondas a pocos pasos del centro de Madrid.

Las unidades están equipadas con balcón y ofrecen aire acondicionado, TV y baño privado con ducha y secador de pelo. También hay tostadora y cafetera.

Cerca del alojamiento hay puntos de interés como Puerta del Sol, Mercado de San Miguel y Plaza Mayor de Madrid. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 15 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Apartamentos EconoStay Plaza de España,€ 673,"Puntuación: 7,37,3",https://www.booking.com/hotel/es/apartamentos-econostay-plaza-de-espana.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=1140143801_386876338_3_0_0&highlighted_blocks=1140143801_386876338_3_0_0&matching_block_id=1140143801_386876338_3_0_0&sr_pri_blocks=1140143801_386876338_3_0_0__67267&from=searchresults,3,NA,78,"Apartamentos EconoStay Plaza de España está en el centro de Madrid, a 6 min a pie de Gran Vía y a 700 metros de Estación de metro Gran Vía, y ofrece alojamiento con wifi gratis.

Algunas unidades están equipadas con aire acondicionado, TV de pantalla plana, lavadora, cafetera y cocina.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Museo Thyssen-Bornemisza y Templo de Debod. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km."
Charming Sol Studios,€ 695,"Puntuación: 8,18,1",https://www.booking.com/hotel/es/charming-sol-studios.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=1151119501_387906108_2_0_0&highlighted_blocks=1151119501_387906108_2_0_0&matching_block_id=1151119501_387906108_2_0_0&sr_pri_blocks=1151119501_387906108_2_0_0__69473&from=searchresults,3,NA,39,"Charming Sol Studios está en el centro de Madrid, a 6 min a pie de Plaza Mayor de Madrid y a 600 metros de Mercado de San Miguel, y ofrece alojamiento con wifi gratis.

El alojamiento tiene aire acondicionado, cocina totalmente equipada, TV y baño privado con ducha y artículos de aseo gratuitos. También hay nevera, microondas y fogones, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Puerta del Sol, Museo Reina Sofía y Estación de metro Plaza de España. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 14 km."
Hostal Flat55Madrid,€ 545,"Puntuación: 8,08,0",https://www.booking.com/hotel/es/flat5madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=1226223_400383258_2_0_0&highlighted_blocks=1226223_400383258_2_0_0&matching_block_id=1226223_400383258_2_0_0&sr_pri_blocks=1226223_400383258_2_0_0__54520&from=searchresults,NA,NA,850,"Este luminoso y colorido hostal te permitirá disfrutar del ambiente animado y cosmopolita de Madrid. Se sirve el desayuno todos los días.

Las modernas habitaciones con aire acondicionado del hostal Hostal Flat55Madrid presentan un diseño elegante y contemporáneo que contribuye al ambiente joven de la propiedad. Las comodidades modernas incluyen televisores con reproductores de DVD. Algunos baños son compartidos y hay wifi en todo el establecimiento.

El Hostal Flat55Madrid se encuentra en el centro histórico de la ciudad, que data del siglo XIX, cerca de las calles comerciales más importantes que hay alrededor de Gran Vía y Fuencarral."
Central Cozy -1Bedroom 1Bath -Anton Martin,€ 677,"Puntuación: 7,87,8",https://www.booking.com/hotel/es/central-cozy-1bedroom-1bath-anton-martin.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ArnZiL0GwAIB0gIkMTNlMDQ2YjEtMmY1OC00MmQzLThkNmEtNTdjMjJmMzM4MWEw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=46716a22cf15007f&srepoch=1738681603&all_sr_blocks=1292747902_402349778_2_0_0&highlighted_blocks=1292747902_402349778_2_0_0&matching_block_id=1292747902_402349778_2_0_0&sr_pri_blocks=1292747902_402349778_2_0_0__67661&from=searchresults,3,NA,5,"Central Cozy -1Bedroom 1Bath -Anton Martin se encuentra en el centro de Madrid, a 9 min a pie de Estación de tren de Atocha y a 1,3 km de Puerta de Toledo, y ofrece wifi gratis. Este apartamento está a 16 min a pie de Mercado de San Miguel y a 1,4 km de Plaza Mayor de Madrid.

El apartamento también dispone de 1 baño.

Cerca del alojamiento hay puntos de interés como Museo Reina Sofía, Parque de El Retiro y Puerta del Sol. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 14 km."
