Name,Price,Rating,Detail Link,stars,center,num_coments,Description
New Go Inn,€ 819,"Puntuación: 8,28,2",https://www.booking.com/hotel/es/new-go-inn.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=412405508_382004403_2_0_0&highlighted_blocks=412405508_382004403_2_0_0&matching_block_id=412405508_382004403_2_0_0&sr_pri_blocks=412405508_382004403_2_0_0__81880&from=searchresults,3,NA,4.609,"El New Go Inn goza de una ubicación ideal en el centro de Madrid, a 500 metros de la Gran Vía. En las inmediaciones hay lugares de interés como el Museo Thyssen-Bornemisza y la Puerta de Alcalá. El Paseo del Prado está a 1,9 km.

Todas las habitaciones del albergue tienen armario. Las habitaciones del New Go Inn disponen de conexión WiFi gratuita y baño privado con ducha y artículos de aseo gratuitos. Todas las habitaciones incluyen nevera.

El Museo del Prado está a 2,3 km. El aeropuerto Adolfo Suárez Madrid-Barajas está a 24 km."
Sonder Santa Ana,€ 1.103,"Puntuación: 8,68,6",https://www.booking.com/hotel/es/sonder-santa-ana.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=871295105_397234088_2_0_0&highlighted_blocks=871295105_397234088_2_0_0&matching_block_id=871295105_397234088_2_0_0&sr_pri_blocks=871295105_397234088_2_0_0__110264&nad_id=93c7bc35-32ab-4aa0-9dac-25b896cd00c9_5&nad_cpc=0.68&nad_track=eyJhdWN0aW9uRXBvY2giOjE3Mzg2ODM3NTM1MDcsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiQ1k2OUNGUVRHT1dFLytBVms5V3dCSlhHRTVvVWloWEVkRWlYTDFtS21UN2ZoMFFtTFZ4UlppdmtnaDdMYlQwVmZZcjFSV21sMWwzNnM2T1o5ZFpTc3lybmhQTEszRGl5MUxkSXNOT0ZncEFqcjZnMTN0R0l5aDBkTGFncWExbU43VFExRWI0Z040YTk5c2dSOWNpMnhTQzM0b3BZNThLSDc2SkJzT2Y4NmtJSVY4TU9RV1JlVTRlcDBBc2p3R0ZKeG5PbmNxaTBld2RnWVJsUHBnbW9ueU94ejBJcmxvRTBHWUJXOTJ3T3pDVGk4MzZBUi8xVVBBYWlDU0t4S1plbTdpUkNpeGxVUXk3MXg5NWxnMy90bTNMSEpaSlYrRk5kSSsxUnJJM0dlU1FOZkkzdWpRRDhmLzJsNU8vZ0xnZzhzVHhyZjFmYVpyWGN1SjBUTEE0TEdlWlJySmhsaXdGdXZDYVRiZ3Q2Q1h2UFN3bUlTMGtPTXRNQ0MyUHRyQ0EzNXZYVDRPMkdrcEMwejRrNDRLb2hXNDVnTmhpR1hLLzZwZkJ1Q3pGb0hMUE9hQldJY1lHeXZiTFlOM0NpUTlsR0Q2MHlVMTlOOXJ2YVdKbENzVTJyVC9SVUZpMnBlZE4xM3oxWUVPNXlqVlZiTklDOXRzd1RuOXdKa3BESitHOHoyWmgzL216dU0vb0Z2cHhGS3lPNGttWnlIMTk5aW0xZldEd2p3bDA1L1A0eHk5amtQRVNqZXIrMnlaTm1STTBrN1VCbThqS3ZMcURXeVlDMHV6K2pmaC9rcDVsWElMN0hRSjVOMWZNeUJ2R1NRMUJLOG1rTll6ZGJUbFVpUURmY3orWlMvcFhsZUtVdUtIcjZsaU5icW1MdDk2T0NOV0ZHU1JCS3FabDZ1WGhMd2ozQnJPUGY0STdvaENzNC9BaWhBcjVIZmIwOTRxdXdpM3FYRlNDTk5SdDh5Y2dUc3o3YkdscDdZeHdlcG4rNGV3M0Qwc0w1cGgra3dqUjAxemdzdjhFeXpURkZrcVYxaEJsVHpRQUFnc044dmlOT0hZWVQyQnRRRXR4N3JaelhDQnJoR3djNUk5elpoWSt2Ykl4Y0ZwZllNZVI1S0wvbGlFTFEyU2hXcFU5VGlqU21sQmRRbzBQTmE4ZTZnKzVDQ1NFeFRFUDF0WW1jMmtqUC8xZmt5dnk4Qzd4aXJzbUlTRFVENVN5ZTV6Q1RoWVVpOFpMMEJwT0RKUHJoWGFrM3NpRlkyeGNDanE2MzJQTWUvbEMvZFh1UU92VS9XcmlncnYyNzFrbi9aaEIvMjJlVkJmZ29uV3VuMWZNNisrdXZQTzU4dTNFUFV0bzVYYzlYK0M2MFpMc3VCb1hvWUsveFpqK3p1anIxRHlHSy9CR2ZTR1hXY09obWtha25mQVN5NnNpNEIvTnY5T09vNlg3RFVHMXZwTWlQaVJUVjV5MkpKR0M3NEJZQVVac0RKRFpCakVGVWpYalRPVkd1Y1J3RHhvWUlrQ2xhWUtqWlN2b0tiZ3M0Mkt5S3hvWjdFeHoxZ1BWVU51M1FsYkdyWlEwM0hHSGpzc1NRdWdaVG9yQVdzWmdubEloWmtCWVRXV2h1QVNGdzVxWU9TeFdxNUJTb2dFcmZ1V1hmL0NuQ25oWXN1Sm9IeC9WemNndXJSNmg3TGxMREJKRG10RVYvRHdadTFuUm0xR2ZMY0loNlJXL0oxdlM4YVJEMzBFK2FBcW0vWS83Q0xLaU0rS25mTnhpblhOU2FKeXREeVlTcmI3bGNRUys5T051ZUVMQTl1WStsMmxQbTF6S0IySThlYjZsMjlNY09wVjlmSTFkdkRXbmk0bENuNUlNUzNadFY3bDdYQmx2SjhHTTlheWU1VUZ5Z25nUGNSWW9uNGd6Rm00c0YrRnlmZ1E0RmRTcUJVRDdLY2t0ZTdjWlU2d3hGNy9MVk1QSFZTbXRqN3VKWVFucGNmR0RwU3N1bXN1VUF3azRIaUZXQkloV1VFRlJKOHluaHYrZ2VpMzd0Uk1sK0JTcXpSMFJhdDhJNXljK1ZLYmVHSTltZFZrenRYdEw2NVZVVHZRczQ0RzRyNGt4d3lLdnRGS3Y1eDZkamhvaEl1UmtiRS9oK3RxYjZiOUZDT1FkdWM1Vm5nTTlBSmlGdzBRUTNBTlFzT3NyTHBPWFpTVVR0NTNHK25kV1U2VFFydWo4Z2Q4VTdhWDNZdU1reC9WZDgvVnhzTmU0MEZEQjZBdjd3UGFHcHlsUlQ1TXY3SXRibEQ3a2I4WkIwQkJXbWJkVFZKQkJUODhVRUVDbHVheUJVYzNpb3RSa2o1UDMrSFRBUEt6Y1IvYzhkRHloRmxvTjhJeURIazRISEJyUHl6c29hT0RDVWdRdGh1QlBvK3pPcUdwVUNEZ202WDJqUWxBRHBzdU93MnVxRDV2RmgxM1dHT25rMDAyS3I5c25EdHlmZ0VGcUY1NFNPSks2c0VnM09xWWVCcjIvVkc3UlhKd0lXSHNWZFdyamZrUmYrdktLbU5GTUhCMXp2MHZmamkzV1Z1Y05jNFVmZzNwS2VVUDZTSWlXMWpVYVZJSU1jVXpIMytRaG10UkJvSUcrQXNwMllYWlFFZGxDeld6OEx1Qlg5bGMxbHJrbVJGS1IrTm5yOWVEYitwaVZVWEN2WUJKb094SDVHb09ybGdIK3ZMbGZNdmwzdmxjd2Y1cUpZSXRrQXlqSVllOEtaRDg4ejVqU0E0dDZaQ0RZSS9EcnhSRjhoYUF4ZmNRS1pQQUpnTysxVW1ESk9jaVdPOHNxOXl2VnNObHVBM1FZamRWNVBhZGVlK0xiWERTTTBDOG92TkQwL2FXWnV6VHQzeUk5SnhKZFpMa2wwVEU1YnNQTGYwYy9NcVN2WHlrQThlQjkxV21USWNmTXY3RUhGTXpJTkh5SURqakRlcUhudzNqNzJ3LzhjZzN4RGFrVS83WHpsTUptSmVVcmNHRlFQNVRUa2RLNU1MZnJYMzZVVVYyMnEraEU3ZVBDcG1BamlTMkRvWHJUYmQzMmpPaUR0cG52VEtKeE1JaHd3NFJIVFdmL3JXRWJCNmlwSDZsMWt0c0tXVkNMMEVrQVIzTnBqVEk0QjR5QU0rNVhCalBocThoeTVvbzhEUGFDM1JYc3VvRTRwSVAvVlNuMi9QbjdGSWhCY0NQaS9uTW1weElYNFVSUUhCZ29lRVlQRDUreVZqV0tNbU5HSFlpWVFJSW83b3ZvcFY0bFFlbXdSeVIzTVdROTZ0YmJxYVg5NFNiZk53L2xnd214NlplRit4SC9WQVdGaUFHekR1MThUVkFtTlV2akZ2S0xINncyeDI2MzBpR2trSTM2bWNaa3J3N05US2F6cXpXWDFaaDg9In0%3D&from=searchresults,3,NA,1.991,"Sonder Santa Ana está en el centro de Madrid, a 9 min a pie de Plaza Mayor de Madrid y a 900 metros de Mercado de San Miguel, y ofrece alojamiento con wifi gratis.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con bañera o ducha, artículos de aseo gratuitos y secador de pelo. También hay nevera, microondas y fogones, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Puerta del Sol, Estación de metro Gran Vía y Museo Reina Sofía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 13 km."
JC Rooms Santo Domingo,€ 792,"Puntuación: 7,97,9",https://www.booking.com/hotel/es/jc-rooms-santo-domingo.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=50695701_88209982_0_2_0&highlighted_blocks=50695701_88209982_0_2_0&matching_block_id=50695701_88209982_0_2_0&sr_pri_blocks=50695701_88209982_0_2_0__79200&from=searchresults,3,NA,4.203,"En las reservas de 3 o más habitaciones se debe contactar primero con el alojamiento, ya que no se garantiza la disponibilidad.

El JC Rooms Santo Domingo es un hotel moderno ubicado en el centro de Madrid, junto a la plaza de Santo Domingo. Ofrece habitaciones con decoración temática, minibar gratuito y ducha de hidromasaje. Hay WiFi gratuita.

Todas las habitaciones tienen caja fuerte y TV HD de pantalla plana. El minibar se repone a diario.

Este hotel JC Rooms cuenta con recepción 24 horas que ofrece información turística, entre otros servicios.

Se puede prestar un servicio de traslado al aeropuerto por un suplemento. La estación de metro Santo Domingo se encuentra a 350 metros y la avenida Gran Vía está a 15 minutos a pie."
Apartamento Anton Martin II,€ 620,"Puntuación: 7,77,7",https://www.booking.com/hotel/es/liveandenjoy-lavapies-ii.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=522870601_373867055_2_0_0&highlighted_blocks=522870601_373867055_2_0_0&matching_block_id=522870601_373867055_2_0_0&sr_pri_blocks=522870601_373867055_2_0_0__61973&from=searchresults,3,NA,58,"Apartamento Anton Martin II se encuentra en el centro de Madrid, a 6 min a pie de Museo Reina Sofía y a 800 metros de Estación de tren de Atocha, y ofrece wifi gratis. Este apartamento está a 1,8 km de Parque de El Retiro y a 12 min a pie de Puerta del Sol.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y secador de pelo. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Plaza Mayor de Madrid, Mercado de San Miguel y Puerta de Toledo. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 14 km del alojamiento."
MintyStay - Divino Pastor,€ 671,"Puntuación: 7,37,3",https://www.booking.com/hotel/es/1-bedroom-1-bathroom-furnished-malasana-cozy-in-downtown-area-mintystay.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=673230302_275436560_2_0_0&highlighted_blocks=673230302_275436560_2_0_0&matching_block_id=673230302_275436560_2_0_0&sr_pri_blocks=673230302_275436560_2_0_0__67132&from=searchresults,3,NA,31,"MintyStay - Divino Pastor está en el centro de Madrid, a 13 min a pie de Gran Vía y a 1,1 km de Estación de metro Gran Vía, y ofrece wifi gratis. Este apartamento está a 1,9 km de Museo Thyssen-Bornemisza y a 19 min a pie de Mercado de San Miguel.

El apartamento dispone de 1 dormitorio, una cocina con nevera y horno, y 1 baño con bañera o ducha, artículos de aseo gratuitos y lavadora. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Templo de Debod y Royal Palace of Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 18 km."
AVA Rooms,€ 557,"Puntuación: 8,48,4",https://www.booking.com/hotel/es/hs-avarooms.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=222345902_361408183_2_0_0&highlighted_blocks=222345902_361408183_2_0_0&matching_block_id=222345902_361408183_2_0_0&sr_pri_blocks=222345902_361408183_2_0_0__55660&from=searchresults,1,NA,1.000,"El AVA Rooms goza de una buena ubicación en el distrito Centro de Madrid, a 100 metros de la Gran Vía, a 1 km del Museo Thyssen-Bornemisza y a 1,3 km del Palacio Real de Madrid. Este establecimiento de 1 estrella cuenta con WiFi gratuita y mostrador de información turística. El establecimiento dispone de habitaciones familiares.

Todas las habitaciones están equipadas con armario y TV. Todas las habitaciones del AVA Rooms cuentan con aire acondicionado y escritorio.

El templo de Debod se encuentra a 1,8 km del alojamiento, mientras que el Museo del Prado está a 1,5 km. El aeropuerto Adolfo Suárez Madrid-Barajas es el más cercano y está a 15 km del AVA Rooms."
San Nicolas,€ 781,"Puntuación: 8,68,6",https://www.booking.com/hotel/es/san-nicolas-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=1249651001_397412209_2_0_0&highlighted_blocks=1249651001_397412209_2_0_0&matching_block_id=1249651001_397412209_2_0_0&sr_pri_blocks=1249651001_397412209_2_0_0__78100&from=searchresults,3,NA,18,"San Nicolas ofrece wifi gratis y está en el centro de Madrid, a 3 min a pie de Mercado de San Miguel y a 600 metros de Plaza Mayor de Madrid. Este apartamento está a 14 min a pie de Puerta de Toledo y a 1,3 km de Templo de Debod.

Este apartamento dispone de 1 dormitorio, cocina con nevera y lavavajillas, TV de pantalla plana, zona de estar y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Puerta del Sol, Estación de metro Plaza de España y Royal Palace of Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 14 km."
Dobo Homes - D14,€ 859,"Puntuación: 8,08,0",https://www.booking.com/hotel/es/dobohomes-desengano.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=1135366305_386185222_2_0_0&highlighted_blocks=1135366305_386185222_2_0_0&matching_block_id=1135366305_386185222_2_0_0&sr_pri_blocks=1135366305_386185222_2_0_0__85860&from=searchresults,3,NA,166,"Dobo Homes - D14 ofrece alojamiento con wifi gratis, cocina, nevera, microondas y tostadora a 400 metros del centro de Madrid.

Todas las unidades disponen de aire acondicionado y TV de pantalla plana.

Cerca del alojamiento hay puntos de interés como Estación de metro Gran Vía, Gran Vía y Museo Thyssen-Bornemisza. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 13 km."
Hostal Centro Sol Madrid,€ 740,"Puntuación: 8,88,8",https://www.booking.com/hotel/es/hostal-centro-sol.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=32653201_337599885_0_0_0&highlighted_blocks=32653201_337599885_0_0_0&matching_block_id=32653201_337599885_0_0_0&sr_pri_blocks=32653201_337599885_0_0_0__73954&from=searchresults,3,NA,2.042,"El hotel Centro Sol ofrece habitaciones coloridas con aire acondicionado en el centro de Madrid. Se encuentra a menos de 100 metros de la Puerta del Sol y a unos 15 minutos a pie del parque de El Retiro. Hay conexión Wi-Fi gratuita.

Las habitaciones del Hostal Centro Sol Madrid están pintadas con colores luminosos y cuentan con suelos de parqué y calefacción central. Todas disponen de escritorio, TV con canales vía satélite y minibar. Los baños privados cuentan con secador de pelo.

El hotel se encuentra en la zona comercial y de ocio de Madrid, muy cerca de una gran variedad de bares, cafeterías, restaurantes y tiendas. La calle Mayor y la calle del Carmen, una calle peatonal y comercial, se encuentran a menos de 5 minutos a pie. Gran Vía se encuentra a 2 paradas en metro.

El Centro Sol está a unos 10 minutos a pie de los lugares de interés de la capital, como por ejemplo, la Plaza Mayor, el Palacio Real y el museo de El Prado. La estación de tren de Atocha se encuentra a 15 minutos a pie o a 3 paradas en metro."
Hostal Fernández Atocha,€ 546,"Puntuación: 7,97,9",https://www.booking.com/hotel/es/hostal-residencia-fernandez.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtvqiL0GwAIB0gIkNWEzOWRjNDgtY2U4OS00MjdhLWEzOGQtNDNiMDVlMmExMzE12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-22&checkout=2025-03-28&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5aba6e746e9e0443&srepoch=1738683856&all_sr_blocks=47902310_399623061_2_0_0&highlighted_blocks=47902310_399623061_2_0_0&matching_block_id=47902310_399623061_2_0_0&sr_pri_blocks=47902310_399623061_2_0_0__54641&from=searchresults,NA,NA,3.133,"El Hostal Fernández Atocha está situado en el centro de Madrid, frente al Museo de Arte Reina Sofía y el Real Conservatorio de Madrid. La estación de tren de Atocha está a 250 metros.

La Residencia Fernandez se encuentra en el barrio de Atocha, a poca distancia a pie de una gran variedad de bares, tiendas y restaurantes. Hay wifi gratuita. La recepción abre a las 09:15.

Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana y armario. El baño puede ser privado o compartido.

Otros lugares de interés cultural, como el Caixa Forum o el Real Jardín Botánico, están a menos de 5 minutos a pie."
